Word,Frequency,Index
rescue,660,988
information,659,990
third,659,989
wanted,656,991
violent,656,992
song,653,993
test,652,994
else,651,995
en,650,996
happiness,649,997
refuses,648,998
cinema,647,999
africa,646,1001
period,646,1000
fortune,645,1002
producer,645,1003
victims,644,1004
held,643,1005
feelings,642,1006
remains,641,1008
figure,641,1007
china,641,1009
1997,640,1010
meaning,640,1011
hold,639,1012
station,639,1013
estate,638,1014
research,636,1015
answer,636,1017
kid,636,1018
encounters,636,1016
say,635,1019
mike,634,1022
classic,634,1023
changing,634,1020
season,634,1021
choice,633,1024
legendary,633,1025
title,632,1026
decided,632,1027
build,631,1030
prove,631,1028
legend,631,1029
urban,630,1032
education,630,1031
bar,630,1033
lies,629,1034
recently,627,1035
science,626,1037
rights,626,1036
seem,625,1038
ultimate,624,1040
anna,624,1039
calls,623,1045
quite,623,1041
global,623,1044
texas,623,1042
fans,623,1043
workers,622,1046
moments,620,1048
12,620,1049
et,620,1047
happen,620,1051
italian,620,1050
seeks,619,1052
english,618,1053
remote,617,1054
there's,616,1055
horse,616,1056
breaks,615,1058
began,615,1057
soldiers,614,1059
protect,614,1060
fast,613,1061
that's,612,1064
richard,612,1065
ghost,612,1063
lee,612,1066
fellow,612,1062
innocent,611,1068
easy,611,1070
beach,611,1069
offer,611,1071
truly,611,1067
magic,610,1072
il,610,1073
word,610,1074
loses,609,1075
further,609,1076
helps,608,1078
contemporary,608,1077
continues,606,1080
planet,606,1079
thousands,605,1081
chris,605,1082
8,604,1083
ranch,603,1084
says,602,1085
witness,601,1086
games,600,1087
civil,600,1088
shop,599,1089
physical,598,1090
longer,598,1091
captain,597,1093
include,597,1092
done,596,1094
worse,596,1096
discovery,596,1095
nearly,595,1098
les,595,1099
completely,595,1097
desert,594,1101
nation,594,1100
survival,593,1102
driver,593,1103
cold,592,1105
11,592,1104
victim,592,1106
loved,591,1111
manager,591,1109
border,591,1112
native,591,1108
blue,591,1107
court,591,1110
investigation,589,1113
interview,588,1115
they're,588,1114
rural,587,1116
deadly,587,1117
faced,586,1118
studio,585,1119
matter,585,1120
songs,585,1121
neighborhood,584,1122
answers,584,1123
1996,582,1125
lifestyle,582,1124
sheriff,581,1126
environment,580,1128
reveal,580,1127
model,579,1129
coast,578,1130
consequences,578,1131
martin,578,1132
built,575,1133
animals,573,1135
training,573,1134
record,573,1136
efforts,573,1137
rare,572,1138
author,572,1139
15,572,1140
russian,572,1141
giving,572,1142
steve,571,1144
visits,571,1145
slowly,571,1143
thomas,571,1146
d,571,1147
edge,568,1149
mrs,568,1148
arrested,567,1150
ben,567,1151
football,566,1154
walk,566,1153
dramatic,566,1152
enter,566,1157
effects,566,1156
germany,566,1155
store,565,1158
competition,562,1160
sends,562,1159
clear,561,1161
forest,560,1162
directed,559,1163
queen,558,1164
unfortunately,558,1165
maria,558,1166
religious,557,1167
financial,557,1168
pop,556,1169
france,556,1171
overcome,556,1172
pain,556,1170
crazy,555,1176
sisters,555,1173
mother's,555,1174
b,555,1175
7,554,1177
lose,554,1178
revolution,553,1181
1995,553,1180
dying,553,1179
historical,552,1184
impact,552,1182
losing,552,1185
screen,552,1183
talent,551,1187
captured,551,1186
economic,550,1188
central,550,1190
player,550,1189
reach,549,1191
ordinary,549,1192
recent,548,1194
jewish,548,1196
minute,548,1193
dad,548,1197
6,548,1195
journalist,547,1199
reason,547,1198
romance,547,1200
creative,546,1201
discovered,546,1203
johnny,546,1204
evidence,546,1202
eight,545,1206
fame,545,1207
england,545,1208
interest,545,1205
man's,544,1209
cause,542,1210
van,541,1212
evening,541,1211
gun,540,1213
underground,540,1214
hear,539,1216
haunted,539,1215
puts,538,1217
drive,538,1220
canada,538,1219
mountains,538,1218
inner,538,1221
language,537,1222
independent,537,1223
romantic,536,1224
super,536,1225
arts,535,1228
southern,535,1227
searching,535,1226
keeps,534,1229
politics,533,1230
alex,532,1231
perspective,532,1232
theatre,531,1233
9,529,1234
study,527,1235
provide,527,1237
pretty,527,1236
individuals,525,1240
weekend,525,1241
jail,525,1238
examines,525,1239
novel,524,1242
grand,524,1243
lonely,523,1249
facing,523,1246
date,523,1248
50,523,1245
100,523,1244
spiritual,523,1247
latest,522,1251
daniel,522,1250
location,521,1252
lawyer,521,1254
seeking,521,1253
c,520,1255
woods,519,1257
field,519,1256
track,518,1258
charlie,517,1261
forgotten,517,1260
worker,517,1263
players,517,1262
ones,517,1264
provides,517,1266
ground,517,1259
era,517,1265
photographer,516,1268
factory,516,1267
focuses,516,1272
seemingly,516,1269
sell,516,1271
arrive,516,1270
funny,515,1276
concert,515,1274
priest,515,1275
birthday,515,1273
